FacilityID,X,Y,PrimaryStr
15826,-71.0860367062681,42.4227440183767,CHARLES ST
15827,-71.0628940525927,42.4194132476978,CROSS ST
15828,-71.0634487572421,42.4191614153009,CROSS ST
15829,-71.0545461371967,42.4311901104772,SALEM ST
15830,-71.0547570236199,42.4311707402816,SALEM ST
15831,-71.0610956806015,42.4203256378104,CROSS ST
15832,-71.0610672682593,42.4202470811674,CROSS ST
15833,-71.0612271638665,42.4201738304524,CROSS ST
15835,-71.0615789485339,42.4201052907142,CROSS ST
15836,-71.0623187006875,42.4196738347705,CROSS ST
15837,-71.0634593150392,42.4190154265031,CROSS ST
15838,-71.0653347803618,42.4186218649511,CROSS ST
15839,-71.0544047709726,42.4303520711648,CROSS ST
15840,-71.0551104357663,42.4240316651924,CROSS ST
15841,-71.0551911140788,42.4241888151628,CROSS ST
15843,-71.0486369151537,42.4373399130286,CHERRY ST
15849,-71.042901914054,42.4376523737635,VALLEY ST
15850,-71.0428744498779,42.4377210455461,VALLEY ST
15851,-71.0427358145566,42.437733526572,GRANITE ST
15856,-71.0421453670446,42.4384167101908,GRANITE ST
15857,-71.04212693901,42.438576511004,ROCKINGHAM AV
15858,-71.0430249534387,42.4370909006166,GRANITE ST
15859,-71.0429319631358,42.4371229455575,GRANITE ST
15865,-71.0419221692292,42.4374682963051,NOBLE ST
15866,-71.041980367341,42.4374218351673,NOBLE ST
15867,-71.0418790258917,42.4355583264322,GEORGE ST
15868,-71.0419493453126,42.4355231949725,GEORGE ST
15870,-71.0409168125795,42.4352258701433,DODGE ST
15873,-71.0474228912283,42.429506789047,CRYSTAL ST
15874,-71.0472820352191,42.4295196029138,CRYSTAL ST
15876,-71.0472420373139,42.428967029026,CRYSTAL ST
15877,-71.0473826735973,42.428960027613,CRYSTAL ST
15879,-71.0472023475551,42.4284205267796,CRYSTAL ST
15880,-71.0473416335223,42.4284162284858,CRYSTAL ST
15882,-71.0471288219785,42.4278920720524,CRYSTAL ST
15883,-71.0472590339929,42.4278558351741,CRYSTAL ST
15890,-71.0546064493405,42.424857334946,CROSS ST
15893,-71.0561455409843,42.4237161598515,CROSS ST
15894,-71.0562956858275,42.4237515002444,CROSS ST
15895,-71.0563786618043,42.4237071523657,CROSS ST
15896,-71.0555071205987,42.4246518640192,CROSS ST
15897,-71.0556842966316,42.4246286061056,CROSS ST
15899,-71.0444912429008,42.4300411021736,EASTERN AV
15900,-71.0440961311237,42.4299462510123,EASTERN AV
15904,-71.0431319860899,42.4301340207818,EASTERN AV
15905,-71.043072729695,42.430025657113,EASTERN AV
15907,-71.0522352932379,42.4276464978128,DANIELS ST
15909,-71.0515191691595,42.4271547478514,DANIELS ST
15910,-71.0514584190174,42.4271988399228,DANIELS ST
15912,-71.0511476585539,42.4268865922808,DANIELS ST
15913,-71.0510876123657,42.426930133292,DANIELS ST
15915,-71.0506565300084,42.4265321876592,DANIELS ST
15916,-71.0505986932749,42.4265767592007,DANIELS ST
15919,-71.0466250898799,42.4275936362258,CRYSTAL ST
15920,-71.0466522726693,42.4274936924923,CRYSTAL ST
15922,-71.0462166781137,42.4283484256712,SHARON ST
15923,-71.0463572056656,42.4283402718999,SHARON ST
15925,-71.0461406269279,42.4277250107342,SHARON ST
15926,-71.046276976064,42.4276972384794,SHARON ST
15928,-71.0458176292961,42.428552638686,SHARON ST
15929,-71.0453469527916,42.4294840297611,MAPLEWOOD ST
15930,-71.0454846478424,42.4294530443007,MAPLEWOOD ST
15934,-71.045172666127,42.4285022563216,MAPLEWOOD ST
15935,-71.0453053974376,42.4284734803209,MAPLEWOOD ST
15939,-71.0450900245431,42.426991961893,MAPLEWOOD ST
15940,-71.044894805275,42.4269722770128,MAPLEWOOD ST
15941,-71.0455172258388,42.4264354956165,MAPLEWOOD ST
15943,-71.0457638029804,42.4265137706675,MAPLEWOOD ST
15946,-71.0458953887583,42.4276417634238,CRYSTAL ST
15947,-71.0458872073471,42.4275360132318,CRYSTAL ST
15955,-71.0440202524,42.4291937753869,HANOVER ST
15959,-71.0438586575643,42.4286295564257,HANOVER ST
15964,-71.0435874240319,42.4278301656198,KENNARD ST
15965,-71.0436247420279,42.4278963971181,KENNARD ST
15967,-71.0441632284772,42.4274081755889,KENNARD ST
15968,-71.0442238069257,42.4274598773218,KENNARD ST
15969,-71.05475030592,42.4255970929712,BRYANT ST
15971,-71.0549135615881,42.4257110314953,BRYANT ST
15972,-71.0551571097147,42.4251445830289,CROSS ST
15973,-71.0552760273104,42.4252030050013,CROSS ST
15975,-71.0543705403755,42.4300140697943,CROSS ST
15976,-71.0543105541218,42.4300840625477,CROSS ST
15977,-71.065427967888,42.4185876890594,CROSS ST
15978,-71.0653212107389,42.4187513974434,CROSS ST
15985,-71.0629189931852,42.4193467861063,CROSS ST
15988,-71.0432780319344,42.4279621938635,KENNARD ST
15989,-71.0433220048997,42.428050838498,KENNARD ST
15990,-71.0444608859922,42.4299208572639,EASTERN AV
15993,-71.0609659716962,42.4225477776246,FERRY ST
15995,-71.0614425820497,42.422590424322,CROSS COUNTRY
15996,-71.0615509142751,42.4223550208532,CROSS COUNTRY
15997,-71.0606462238621,42.4218005157008,CROSS COUNTRY
15998,-71.0605919193052,42.4215627107028,CROSS COUNTRY
15999,-71.060231735445,42.4213403123532,CROSS COUNTRY
16002,-71.0592331406966,42.4217794229576,CROSS ST
16004,-71.0604700779354,42.42130897587,CROSS COUNTRY
16005,-71.0636705026688,42.4190609257092,CROSS ST
16007,-71.0852843578843,42.435692137965,HIGHLAND AV
16008,-71.0852211653211,42.4355780897464,HIGHLAND AV
16013,-71.0493984430921,42.4266006163048,BOWDOIN ST
16014,-71.0494877086134,42.4265206761308,BOWDOIN ST
16015,-71.0495962672243,42.4267513993137,BOWDOIN ST
16016,-71.0496978131684,42.4266809245979,BOWDOIN ST
16017,-71.0496937205412,42.426564859323,HARVARD ST
16018,-71.0496328022458,42.4265173321545,HARVARD ST
16020,-71.0499909715381,42.4270450927206,BOWDOIN ST
16021,-71.0500680524113,42.4269568929137,BOWDOIN ST
16023,-71.0504785147235,42.4274086382251,BOWDOIN ST
16024,-71.0505789207462,42.4273385678417,BOWDOIN ST
16027,-71.0638199622566,42.4236923383004,FERRY ST
16032,-71.0621753481979,42.4196998019947,CROSS ST
16038,-71.0599858866381,42.4207982062729,CROSS ST
16040,-71.0593495261617,42.4212185104586,CROSS ST
16041,-71.0594283835017,42.4212855057498,CROSS ST
16047,-71.0585725901327,42.4217512372052,CROSS ST
16051,-71.0608507626516,42.422636919776,FERRY ST
16052,-71.0609643460473,42.4226728877529,FERRY ST
16053,-71.0636360983806,42.4194807813311,ASHLAND ST
16054,-71.0635056116494,42.4197912425498,ASHLAND ST
16056,-71.0638013618166,42.4196614743716,ASHLAND ST
16057,-71.0638513392429,42.4196836593617,ASHLAND ST
16058,-71.0639025394955,42.4197320505365,ASHLAND ST
16061,-71.0865466803756,42.4366920828865,HIGHLAND AV
16062,-71.0866454498602,42.4367247258716,HIGHLAND AV
16065,-71.0861623433095,42.4363292591389,HIGHLAND AV
16066,-71.0862947690529,42.4362398334894,HIGHLAND AV
16067,-71.0856010658841,42.4358822751075,HIGHLAND AV
16068,-71.0857683405696,42.4358374089702,HIGHLAND AV
16070,-71.0629320024733,42.4233493410703,FERRY ST
16073,-71.0641899663826,42.4202811843404,JUDSON ST
16074,-71.0641717954774,42.4200766391585,JUDSON ST
16075,-71.0642751334844,42.4200557495363,JUDSON ST
16076,-71.0641962775794,42.4201746567336,JUDSON ST
16078,-71.0651626818578,42.4200711038404,JUDSON ST
16079,-71.0651749048803,42.4214698707267,BARRETT ST
16080,-71.0652473216794,42.4214029410723,BARRETT ST
16081,-71.064989735638,42.4209064385126,WILSON AV
16082,-71.0664680151,42.4206654106799,MAIN ST
16083,-71.0664993586435,42.4204936647226,MAIN ST
16084,-71.083339090262,42.4341744745269,HIGHLAND AV
16085,-71.0835623892619,42.4344263666509,HIGHLAND AV
16086,-71.0834381659972,42.4343924345603,HIGHLAND AV
16089,-71.0836074433133,42.4345700132893,HIGHLAND AV
16090,-71.0837373230145,42.4344264942825,HIGHLAND AV
16091,-71.0544008851479,42.4247716338049,CROSS ST
16092,-71.0545325598754,42.4245397854831,CROSS ST
16093,-71.0546448819043,42.4243129941985,CROSS ST
16097,-71.0476793484205,42.440046902822,MARSHALL AV
16098,-71.0477082576818,42.4399851094468,MARSHALL AV
16099,-71.048153970681,42.4399758281451,MARSHALL AV
16100,-71.0470588222742,42.4401052744708,MARSHALL AV
16102,-71.0491837922263,42.438376906172,PAGUM ST
16104,-71.0653251330865,42.417604555557,MAIN ST
16105,-71.0658155769066,42.4197156471888,MAIN ST
16107,-71.0673814625809,42.4188699145714,JAMES ST
16110,-71.0673144240719,42.4182419649367,MEDFORD ST
16114,-71.0675445486072,42.4196828309415,WIGGLESWORTH ST
16115,-71.0674310813247,42.4197049476961,WIGGLESWORTH ST
16116,-71.0674348757235,42.4197670131738,WIGGLESWORTH ST
16119,-71.0681562405569,42.4203849547398,MERIDIAN ST
16122,-71.0687546716159,42.4202584348715,SHAWMUT ST
16123,-71.0688692140413,42.4203175275745,SHAWMUT ST
16124,-71.0695045936834,42.4202885127423,SHAWMUT ST
16127,-71.067871230932,42.4199245888284,MERIDIAN ST
16128,-71.0679507525395,42.4199064678667,MERIDIAN ST
16129,-71.0696888351693,42.4205698520263,MADISON ST
16130,-71.0695832029336,42.4205797205641,MADISON ST
16133,-71.0695494578674,42.4201840375274,MADISON ST
16134,-71.0694974172606,42.4202240727599,SHAWMUT ST
16136,-71.0695697591032,42.421112334246,BARSTOW ST
16137,-71.0695729619461,42.421051270539,BARSTOW ST
16138,-71.0696344266155,42.4211642396069,MADISON ST
16139,-71.0654480206223,42.4170859682343,MAIN ST
16140,-71.0659999931378,42.4196779615493,MAIN ST
16141,-71.0662632616262,42.4199152844774,WIGGLESWORTH ST
16146,-71.0658278861789,42.4192873801536,MAIN ST
16152,-71.0486462827497,42.4384547208077,PAGUM ST
16153,-71.0486351496585,42.4384102326182,PAGUM ST
16154,-71.0480863083865,42.4385348293498,PAGUM ST
16155,-71.0480710739509,42.4384932913183,PAGUM ST
16156,-71.0488135469231,42.43731508634,CHERRY ST
16157,-71.0488017866397,42.4372539084902,CHERRY ST
16160,-71.0502927356051,42.4371341728128,CHERRY ST
16162,-71.0501836226927,42.4371725281785,WILLARD ST
16163,-71.0622833752968,42.4211592179331,ASHLAND PL
16164,-71.0622364094756,42.4212016853261,ASHLAND PL
16167,-71.0425853493704,42.4255011927244,BROADWAY
16169,-71.0431114769283,42.425307258512,BROADWAY
16170,-71.0428423116116,42.4250488954194,BROADWAY
16171,-71.0438919646022,42.4255460747528,BROADWAY
16173,-71.0444431403761,42.4256957168265,BROADWAY
16174,-71.044511536167,42.4253418718087,BROADWAY
16175,-71.0440649448343,42.4252327423954,BROADWAY
16176,-71.0440303200442,42.4250535353546,BROADWAY
16177,-71.0418566558356,42.4256454182655,BROADWAY
16179,-71.0420563887947,42.4256015994366,BROADWAY
16184,-71.0644488768478,42.4209605346958,HIGH ST
16188,-71.0654325966179,42.4185294681482,MAIN ST
16189,-71.0655883221447,42.419194598676,MAIN ST
16190,-71.0656399707728,42.4192979157044,MAIN ST
16195,-71.0655507935461,42.4180712549073,MAIN ST
16198,-71.0652659125375,42.4169981789082,MAIN ST
16199,-71.069480278134,42.419589916262,MADISON ST
16202,-71.0693071825433,42.4217116260183,CRAWFORD ST
16203,-71.0692959605195,42.4216680263698,CRAWFORD ST
16205,-71.0707126537562,42.419869193134,GREEN ST
16208,-71.0706845718954,42.4193867104358,GREEN ST
16222,-71.07224889711,42.4187457246859,CANAL ST
16223,-71.0721107112807,42.4187737959073,CANAL ST
16224,-71.0723107903429,42.4194327431325,CANAL ST
16225,-71.0721701930526,42.4194387865222,CANAL ST
16230,-71.0722599563571,42.4204689818848,CANAL ST
16232,-71.0723391690965,42.4218740817827,CANAL ST
16233,-71.0721983718796,42.4218720638381,CANAL ST
16238,-71.0435767000925,42.4357767746319,GRANITE ST
16239,-71.0438108608783,42.4356446630726,JACOB ST
16247,-71.0742064923298,42.4177130163769,MEDFORD ST
16248,-71.0742418863653,42.4178320483892,MEDFORD ST
16249,-71.074878433782,42.4177702511936,MEDFORD ST
16250,-71.0725768573646,42.4180345104284,MEDFORD ST
16251,-71.0725400843307,42.4179181756686,MEDFORD ST
16257,-71.0757740472321,42.4178369819001,COMMERCIAL ST
16261,-71.0850397386289,42.4344197903609,PAMELA CR
16262,-71.0844981619295,42.4347482881504,PAMELA CR
16268,-71.061232370385,42.421734357098,ASHLAND ST
16269,-71.0620639774879,42.4209669818672,ASHLAND ST
16270,-71.0620013831802,42.4209247967991,ASHLAND ST
16271,-71.06117894255,42.4216856050279,ASHLAND ST
16274,-71.0631031156791,42.4231753928954,FERRY ST
16275,-71.0629753318252,42.4231480251228,FERRY ST
16278,-71.0702184669265,42.4158826680624,NEWMAN RD
16280,-71.0703846956553,42.4159724421657,GREEN ST
16281,-71.068034660586,42.4159331212412,PERKINS AV
16284,-71.0681108815113,42.4156029381611,BELL ROCK ST
16285,-71.0682022852064,42.4153897950802,BELL ROCK ST
16286,-71.0680979417779,42.4153976323547,BELL ROCK ST
16287,-71.0680711038091,42.4159993375355,PERKINS AV
16291,-71.0398508005145,42.4310477304286,BROADWAY
16292,-71.0400202270776,42.4310322518281,BROADWAY
16307,-71.0455480068844,42.4350123606028,LEBANON ST
16308,-71.0619899381454,42.4168683539559,APPLETON ST
16309,-71.0608446889528,42.4184052614466,LOWELL ST
16310,-71.0610340630474,42.4182609674053,LOWELL ST
16313,-71.0617152561177,42.4192564104857,TUFTS ST
16315,-71.0559974993462,42.4191727561445,BELMONT ST
16318,-71.054802140966,42.4200239869728,BELMONT ST
16319,-71.0554391772559,42.4196596142444,BELMONT ST
16322,-71.0581327167382,42.4177515087426,BELMONT ST
16323,-71.0580452800996,42.4177085682217,BELMONT ST
16325,-71.0569496035403,42.418644145367,BELMONT ST
16326,-71.0560717176988,42.4191237386044,BELMONT ST
16327,-71.0548740912649,42.4200815404411,BELMONT ST
16328,-71.05593193953,42.4205942716744,FERRY ST
16333,-71.0801104506436,42.4158785453761,DEVIR ST
16334,-71.0801060560066,42.4159423360836,DEVIR ST
16335,-71.0797885166492,42.4158769151018,DEVIR ST
16336,-71.0800695436804,42.4176976015976,HIGHLAND AV
16337,-71.0799620514732,42.4177879819139,HIGHLAND AV
16338,-71.0797964297975,42.4177765466996,HIGHLAND AV
16339,-71.0796942927715,42.4175219952007,HIGHLAND AV
16343,-71.0798372520837,42.4168025475281,AVON ST
16344,-71.0795715241588,42.4167392853046,AVON ST
16346,-71.0795717100174,42.4160196393923,HIGHLAND AV
16347,-71.0794773885584,42.4153156809473,HIGHLAND AV
16348,-71.079635600855,42.4152889911793,HIGHLAND AV
16350,-71.0552696068235,42.4348781793691,BAINBRIDGE ST
16351,-71.0552834394789,42.4349374540359,BAINBRIDGE ST
16354,-71.0553223509549,42.4345369630987,LILLIAN RD
16357,-71.0555049138097,42.4342494090218,LILLIAN RD
16358,-71.0554946106052,42.4341878697552,LILLIAN RD
16360,-71.0567253276837,42.4342025757865,BAINCROFT RD
16361,-71.056742241494,42.4340749605828,BAINCROFT RD
16364,-71.0568119105346,42.4341560819808,BAINCROFT RD
16365,-71.0567281226043,42.433858840284,BAYRD ST
16367,-71.0558142614715,42.4338090471396,BAYRD ST
16369,-71.0558123198532,42.4337512953746,BAYRD ST
16370,-71.0566142965969,42.4347354207504,BAINBRIDGE ST
16371,-71.0565504487185,42.4348296447147,FLORAL AV
16372,-71.0566377614265,42.4347999076053,FLORAL AV
16376,-71.0528709532695,42.4408393724619,GOODHUE ST
16377,-71.0528465792826,42.4408919167208,GOODHUE ST
16378,-71.0526092153948,42.4406994011897,CROSS COUNTRY
16379,-71.052811656134,42.4402704462603,CROSS COUNTRY
16381,-71.0533735712282,42.4411044782909,GOODHUE ST
16386,-71.0658689454471,42.4351418179563,LEONARD ST
16387,-71.0658190239678,42.4350881819906,LEONARD ST
16389,-71.0659758045527,42.4360417110524,FOREST ST
16393,-71.0400399672115,42.4305163124614,BROADWAY
16395,-71.0404778952924,42.4302128920536,EASTERN AV
16397,-71.0407263401107,42.4346839951893,N. MILTON ST
16398,-71.0407905992766,42.4346787476078,N. MILTON ST
16399,-71.0407347564504,42.4340079775893,SALEM ST
16400,-71.0407189007466,42.4339050627099,SALEM ST
16403,-71.0718848821505,42.4159364596214,CROSS COUNTRY
16406,-71.0714259995662,42.4166766409238,CROSS COUNTRY
16407,-71.0714307572756,42.4167563953033,CROSS COUNTRY
16411,-71.0703528516199,42.4156222294999,GREEN ST
16412,-71.0704935624385,42.4156159692546,GREEN ST
16413,-71.0702234121675,42.4158169788077,NEWMAN RD
